IGN Network;Data;HR inic. e Final;Responsavel;KM Total; Material utilizado ; Horas totais ; Custo de Material ; KM ; Pedagio ; Primeira Hora ; Hora Adicional ; Valor  ; Total de horas ; SID 
Tangara Transmissora Açailandia - MA PID15241;29/01/2026;11:00 - 12:00;Alexandre;;Envio de equipamento QN955474552BR R$138,20;01:00; R$ 138,20 ;;; R$ 180,00 ;; R$318,20 ; R$180,00 ;EMB.5599.A005
RTM ELEA Rio de Janeiro - RJ PID15724;06/01/2026;16:30 - 18:30;Amim;36;;01:00;; R$54,00 ;; R$ 180,00 ; R$120,00 ; R$ 354,00 ; R$300,00 ;EMB.5521.A086
CBA Poços de Caldas - MG PID15428;07/01/2026;10:00 - 11:30;Amim;36;;01:00;; R$54,00 ;; R$ 180,00 ; R$ 60,00 ; R$294,00 ; R$240,00 ;EMB.5535.A017
Springer Extrema - MG PID15670;07/01/2026;17:30 - 18:30;Amim;84;;01:00;; R$126,00 ;; R$ 180,00 ;; R$306,00 ; R$180,00 ;EMB.5535.A019
Transpetro Cubatão - SP PID14680;07/01/2026;14:00 - 16:00;Amim;;1 Patchcord ;02:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;EMB.5513.A013
RTM ELEA Rio de Janeiro - RJ PID15724;12/01/2026;09:00 - 14:30;Amim;36;1 Fibracord MM Duplex R$65,00;02:30; R$65,00 ; R$54,00 ;; R$ 180,00 ; R$540,00 ; R$839,00 ; R$720,00 ;EMB.5521.A086
CTG Brasil Tres Lagoas - MS PID15821;14/01/2026;15:00 - 16:30;Amim;;;02:00;;;; R$ 180,00 ; R$ 60,00 ; R$240,00 ; R$240,00 ;TBR.5567.A039
Prefeitura de Jaborandi - SP PID15712;15/01/2026;14:00 - 17:00;Amim;38;1 Patchcord ;02:00; R$ 30,00 ; R$57,00 ;; R$ 180,00 ; R$240,00 ; R$507,00 ; R$420,00 ;TBR.5517.A021
CM Jose Marinho Rio de Janeiro - RJ PID14232;16/01/2026;10:30 - 13:00;Amim;68;Envio de equipamento QN105991163BR R$42,10;02:00; R$ 42,10 ; R$102,00 ;; R$ 180,00 ; R$180,00 ; R$504,10 ; R$360,00 ;EMB.5521.A066
Bartofil Campina Grande - PB PID15047;27/01/2026;14:00 - 15:00;Amim;;;01:30;;;; R$ 180,00 ;; R$ 180,00 ; R$180,00 ;EMB.5583.A029
SPB Ananindeua - PA PID15124;30/01/2026;09:30 - 10:30;Amim;;;01:30;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;"	TXB.5591.A007"
Knauf Joinville - SC TT293815;06/01/2026;09:00 - 09:30;Edi;40;Fonte 12v R$40,00;04:00; R$40,00 ; R$60,00 ;; R$180,00 ;; R$280,00 ; R$180,00 ;MSY.5547.D001
ETEC Orlandia - SP TT293024;07/01/2026;10:00 - 12:00;Edi;130;Envio de equipamento QN878798338BR R$42,60;12:00; R$ 42,60 ; R$195,00 ; R$ 36,00 ; R$ 180,00 ; R$120,00 ; R$573,60 ; R$300,00 ;TBR.5516.A021
Hemmer Blumenau - SC TT293931;08/01/2026;14:00 - 16:00;Edi;;;01:00;;;; R$ 180,00 ; R$ 120,00 ; R$300,00 ; R$300,00 ;VTL.5547.A001
Flintgroup São Paulo - SP TT294025;12/01/2026;13:30 - 15:30;Edi;60;;02:00;;;; R$ 180,00 ; R$120,00 ; R$300,00 ; R$300,00 ;BRT.5511.B012
ZF Friedrichshafen Engenheiro Coelho - SP TT294023;15/01/2026;09:00 - 12:00;Edi;120;;01:00;; R$180,00 ;54; R$180,00 ; R$240,00 ; R$654,00 ; R$420,00 ;VZB.5519.D002
Knauf Joinville - SC TT295467;20/01/2026;14:00 - 15:00;Edi;40;;01:00;; R$60,00 ;; R$ 180,00 ;; R$240,00 ; R$180,00 ;MSY.5547.D001
Prysmian Sorocaba - SP TT294665;26/01/2026;17:00 - 19:30;Edi;;1 Patchcord ;02:00; R$ 30,00 ;;; R$ 180,00 ; R$210,00 ; R$420,00 ; R$390,00 ;VZB.5511.A022
WEG Monte Alto - SP TT293104;27/01/2026;10:00 - 11:00;Edi;125;;02:30;; R$187,50 ;; R$ 180,00 ;; R$367,50 ; R$180,00 ;RNG.5516.A001
Bradesco Tatui - SP PID13170;12/01/2026;10:00 - 10:30;Eduarda;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;TXB.5515.B002
Consulado do Japão Manaus - SP PID14451;13/01/2026;10:00 -11:00;Eduarda;;Envio de equipamento QN261065487BR R$65,20;01:00; R$65,20 ;;; R$ 180,00 ;; R$245,20 ; R$180,00 ;VZB.5592.A002
Nav Brasil Parauapebas - PA PID11154;14/01/2026;14:00 - 16:30;Eduarda;48;;01:00;; R$72,00 ;; R$ 180,00 ; R$180,00 ; R$432,00 ; R$360,00 ;EMB.5594.A019
EM Maria Quiteria Rio de Janeiro - RJ TT294557;21/01/2026;09:30 - 15:00;Eduarda;;Envio de equipamento QN105991150BR R$42,10;01:00; R$ 42,10 ;;; R$ 180,00 ; R$540,00 ; R$762,10 ; R$720,00 ;EMB.5521.A055
Itaipava Coimbra - MG TT293819;05/01/2026;14:30 - 15:30;Elizabeth;40;;01:00;; R$60,00 ;; R$ 180,00 ;; R$240,00 ; R$180,00 ;TBR.5532.A005
Itaipava Coimbra - MG TT293819;07/01/2026;09:30 - 11:00;Elizabeth;40;;02:00;; R$60,00 ;; R$180,00 ; R$60,00 ; R$300,00 ; R$240,00 ;TBR.5532.A005
CTG Arinos - MG PID15509 (emer);07/01/2026;08:00 - 20:00;Elizabeth;1650;1 Patchcord ;05:30; R$30,00 ; R$2.475,00 ;160; R$ 210,00 ; R$ 1.540,00 ; R$4.415,00 ; R$1.750,00 ;TBR.5538.A005
CTG Arinos - MG PID15509 ;09/01/2026;10:00 - 11:00;Elizabeth;60;;02:00;; R$90,00 ;; R$ 180,00 ;; R$270,00 ; R$180,00 ;TBR.5538.A005
CTG Arinos - MG PID15509 ;12/01/2026;10:00 - 11:00;Elizabeth;60;;01:00;; R$90,00 ;; R$ 180,00 ;; R$270,00 ; R$180,00 ;TBR.5538.A005
Una Bom Despacho - MG PID10193;20/01/2026;----;Fabiana;;Projeto aquisição 1 Kit Starlink ACC-DF-10934066-42301-35;01:00;;;; R$ 3.680,00 ;; R$3.680,00 ; R$3.680,00 ;49103
Mensalidade Stalink ACC-4242771-34437-13;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4242771-34437-13;03:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;46563
